"X.1","X","PLT_CN","INVYR.x","FLDTYPCD","ECO_ID","COUNTYCD.x","LON","LAT","STDAGE","AgeGroup","Carbon_Mg_ha","cv_dbh","VPD","Elevation","MAT","MAP","pH_mean","bdod_mean","clay_mean","nitrogen_mean","FDis","PC1.CWM","PC2.CWM","Shade.tolerance.FDis","Drought.tolerance.FDis","WD_mean_add.FDis","LMA.FDis","Nmass.FDis","Pmass.FDis","Leaf.longevity.FDis","Max.height.FDis","Leaf.FDis","Shade.tolerance.CWM","Drought.tolerance.CWM","WD_mean_add.CWM","LMA.CWM","Nmass.CWM","Pmass.CWM","Leaf.longevity.CWM","Max.height.CWM","Leaf.CWM"
1,1,"Plot_001",2014,"Broadleaf Forest",80101,"Xiangxi",109.320944782011,28.8317102874747,13,2,19.0134325250845,0.504153138206287,0.665618279569893,311,16.8,1341,63.3333333333333,126.666666666667,297.666666666667,291.666666666667,0,-1.51524982246117,-1.38495904528467,0,0,0,0,0,0,0,0,0,3.20997533631745,2.79821608637929,0.41,0.0589744198037889,21.4108085625,2.44392318225,22.0509391044924,30,1
2,2,"Plot_002",2014,"Broadleaf Forest",80101,"Xiangxi",109.322154687721,28.6889139147235,12,2,33.3247776126971,0.500262622838613,0.518978495,1059,13.3,1445,58,120.666666666667,339.666666666667,320.333333333333,1.17403035098397,0.342376050782981,-0.0269794168791742,0.451554100229824,0.0451418499647644,0.322033285732119,0.139071494893162,0.194912443325307,0.386615187366441,0.209242750518643,0.142050014072283,0.835268934070847,1.83703664565201,2.90420347283254,0.484272164713204,0.05055381996531,18.9117889753871,2.5130659970625,9.27501636784869,30.8467741935484,0.161290322580645
3,3,"Plot_003",2014,"Broadleaf Forest",40118,"Huaihua",109.360210820631,26.3817972334943,7,1,4.22552490342793,0.31434108312907,0.480456989247312,634,16,1331,54,116.333333333333,311,302.333333333333,1.83037571162097,-0.433575817208078,-0.6019748897352,0.854273949571006,0.162783636308344,0.496761019260588,0.358553472324759,0.667272176801772,0.0823199405242067,0.455851548828182,2.26670534194303e-16,1.01837443023502,2.75749798244736,2.72689315582151,0.473916454983923,0.0691463199019688,17.1357488699523,2.37638995119328,18.2993725852421,30,0.208333333333333
4,4,"Plot_004",2014,"Broadleaf Forest",80101,"Xiangxi",109.395398880078,29.2672843172055,13,2,21.7249393645334,0.482913060389933,0.45594086,1161,12.6,1518,57.6666666666667,115,301.333333333333,334.666666666667,2.14632519056174,-0.447856096517063,-0.457082275512983,0.349063015920367,0.635105476466386,0.645856115955756,0.504776252806171,0.40883468831275,0.617038205153769,0.548158450498265,0.458445557113078,1.29137574219676,1.78254780742612,2.62267470646305,0.397049609358966,0.0848701007710278,21.0765283479424,2.13629669022403,12.0231893099985,33.1914893617021,0.297872340425532
5,5,"Plot_005",2014,"Broadleaf Forest",80101,"Xiangxi",109.41047555311,28.2568822397808,11,2,33.5958544167203,0.35068851265666,0.449811827956989,794,14.4,1367,61.3333333333333,119.333333333333,280.333333333333,326,0,-1.51524982246117,-1.38495904528467,0,0,0,0,0,0,0,0,0,3.20997533631745,2.79821608637929,0.41,0.0589744198037889,21.4108085625,2.44392318225,22.0509391044924,30,1
6,6,"Plot_006",2014,"Broadleaf Forest",80101,"Huaihua",109.422904041344,27.3906613270387,10,1,16.5328044178805,0.402011880336144,0.542069892473118,689,15.3,1270,57.3333333333333,118.333333333333,288.333333333333,284.666666666667,2.21098211418913,-0.862317267566799,-0.793452317811698,0.407172752817238,0.461974973706541,0.734750827819525,0.239575068288504,0.593676425959268,0.428986116202164,0.2924338542486,0.147651414760175,1.53860078042227,3.00695921446259,2.91697407671593,0.458769740468535,0.0679964160677266,19.298776046446,2.4172292129167,20.76380703561,29.3571428571429,0.528571428571429
7,7,"Plot_007",2014,"Broadleaf Forest",80101,"Xiangxi",109.443287828903,28.7986556741444,15,2,17.5390286038633,0.341952720565951,0.611962365591398,355,16.6,1361,63,127.333333333333,306,310.666666666667,0.574477919232411,0.00110080754100869,1.22273673310959,0.146635578811233,0.219324340315199,0.288084007075298,0.0489074703055347,0.110839490019287,0.275595273837219,0.146324687398061,0.11570593662525,0.12343986605203,2.55810178889771,3.63870291526705,0.577928545508235,0.0880990884216545,17.3887511686627,1.62181758700946,11.6669971848117,25.7142857142857,0.0204081632653061
8,8,"Plot_008",2014,"Broadleaf Forest",80101,"Huaihua",109.475219407335,26.5614373919631,38,3,23.7494706989302,0.687519832345334,0.485698924731183,671,15.4,1336,54.3333333333333,108.666666666667,290.333333333333,325.666666666667,1.6788281046301,0.0702337037401479,0.130496408451492,0.749785821561733,0.347437176003477,0.486762632644469,0.368235731429485,0.336257408698723,0.438398799255761,0.375391984659033,0.153609605519728,0.756069179568682,2.27898374079332,3.03693426762595,0.505499818557648,0.0632166479829007,18.3770136488254,2.20105237335868,12.5307855182476,28.9285714285714,0.142857142857143
9,9,"Plot_009",2014,"Broadleaf Forest",80101,"Huaihua",109.475824057526,26.416778483888,15,2,12.6385268574857,0.314887929187929,0.503413978494624,581,15.6,1356,53,114.666666666667,291.666666666667,320,0,-0.76662113722086,-0.784077720054849,0,0,0,0,0,0,0,0,0,3.40818862701358,2.62143489811348,0.498555273311897,0.087490993945113,13.2943490428368,2.40564086799408,24.8663860475771,30,0
10,10,"Plot_010",2014,"Broadleaf Forest",80101,"Xiangxi",109.478749674587,29.1960975118895,5,1,2.87301128915561,0.435778057057946,0.441290322580645,1009,13.4,1503,57.3333333333333,111.333333333333,277.666666666667,336.333333333333,0,-0.106733740990063,1.4108251068594,0,0,0,0,0,0,0,0,0,1.68,5,0.498555273311897,0.0607078805537597,26.2568048363979,1.70479827749612,38.0890439226132,35,0
11,11,"Plot_011",2014,"Broadleaf Forest",80101,"Huaihua",109.499717272774,27.6803140657511,21,2,25.6180040229409,0.400776173445411,0.564704301,573,16.9,1250,62,123,305,317,2.41168576810238,-0.804095147392879,-0.232978433273886,0.609504045064696,0.840989196304497,0.853367656262228,0.246284521931711,0.438515750488118,0.629414762613605,0.369633509391624,0.20153734868516,1.53829992244424,2.73054485516089,3.3676170690125,0.469962015131454,0.0670008404646646,20.97590119756,2.16369633410354,21.952570389277,29.9411764705882,0.529411764705882
12,12,"Plot_012",2014,"Broadleaf Forest",40118,"Huaihua",109.511636142075,26.8156144910051,20,2,12.7211590737308,0.378341317887481,0.527311828,410,16.8,1269,57.6666666666667,118,303.666666666667,288.333333333333,1.9016798402318,-1.07434243120604,-1.13472279477368,0.315480499847742,0.171732419093873,0.57814697364917,0.254640984084952,0.678592578221124,0.171874658431619,0.19757300995906,0.0138201821168332,1.49943281789491,3.11588225718572,2.66976431259947,0.435533242146921,0.0692120183295249,18.9647948753102,2.39281589272437,21.1801810387947,29.9230769230769,0.584615384615385
13,13,"Plot_013",2014,"Broadleaf Forest",80101,"Huaihua",109.514564386199,26.5979111257675,23,2,19.7198700434862,0.395749061897938,0.505510753,513,16.3,1312,56,121,330.666666666667,294.333333333333,1.58692885432321,-0.233170350526278,0.392596042434911,0.501138675455281,0.673029666738202,0.678715643704773,0.171291955526821,0.444383742696124,0.616402074300107,0.418947493482317,0.22787754374232,0.351536297448677,2.7932134572213,3.17463505432569,0.540989796355841,0.0833867644009645,16.8119563642647,1.88927304060018,15.5879326748348,27.4242424242424,0.0606060606060606
14,14,"Plot_014",2014,"Broadleaf Forest",80101,"Xiangxi",109.517127096619,29.3044106991707,13,2,11.1463341848884,0.419713264496826,0.465779569892473,1073,13.7,1501,56.3333333333333,122,313,304.333333333333,2.40049607294631,-0.40973994531595,0.277427494615661,0.704618062732679,1.32899346658613,0.681351211534177,0.0718804152565201,0.451252280143576,0.489437692984911,0.665758920010557,0.227367109348777,1.27685108131426,2.10179054768824,3.89954306215254,0.455993589725062,0.0610289042160285,24.0021529483058,1.97493914448715,27.6034773155014,32.6404494382022,0.292134831460674
15,15,"Plot_015",2014,"Broadleaf Forest",80101,"Huaihua",109.519167305414,26.1653954644424,17,2,23.6620648926123,0.549430168943335,0.513521505376344,484,16.7,1395,57.6666666666667,123.333333333333,288.333333333333,325.666666666667,1.86390119597355,-0.073762408217291,0.478909502982584,0.424866247743039,0.627004441042319,0.844906893152156,0.334950473701205,0.330060358543643,0.661125425460746,0.286096755776087,0.226201973567744,0.857578467566329,2.49190802711316,3.22890923197016,0.530732259086037,0.0749398422061948,18.5880477706684,1.90474931128756,12.3316842467768,27.2727272727273,0.166666666666667
16,16,"Plot_016",2014,"Broadleaf Forest",80101,"Huaihua",109.51937816853,26.2372827089313,25,2,14.8418750996126,0.611473907497208,0.525725806451613,561,16.5,1380,55,123.333333333333,283,291.666666666667,0.64772386507251,0.704725780300624,0.079124117718044,0.106578534859424,0.285884256490627,0.375079925608742,0.14370453136224,0.174174865831765,0.252848392726951,0.0367838480396694,0.0264213042564834,3.41352153839974e-16,1.63388466855931,2.76771384869927,0.483547023563853,0.0507785352676641,19.7093020277265,2.32129752088692,6.99576969077472,29.8507462686567,0
17,17,"Plot_017",2014,"Broadleaf Forest",40118,"Huaihua",109.522629104786,26.020467550301,25,2,27.656643257393,0.499097993505406,0.499301075268817,608,16.5,1437,55,117,306.333333333333,297.666666666667,2.14350463819517,-1.270331704746,-0.414365612730291,0.633228750050843,0.48488318344902,0.78820331181302,0.596830214064325,0.383975875825468,0.420046053135624,0.356010173373308,0.493626133714037,1.26733859334136,2.65698904290137,3.16388899987006,0.451207237818452,0.0824670499480596,19.9418089081639,2.36559898043589,19.8403325623428,32.2115384615385,0.711538461538462
18,18,"Plot_018",2014,"Broadleaf Forest",80101,"Huaihua",109.538918881116,27.788954407443,8,1,1.43966046405164,0.199491211116667,0.594516129032258,377,16.3,1282,57.3333333333333,115,310.333333333333,312.666666666667,1.28451690450275,0.144162426455504,-0.157712409040544,0.949748081002812,0.163867273182787,1.2490009027033e-17,0.40439799422906,0.544872420143731,0.0286064709201339,0.509772258186099,1.99840144432528e-16,2.1094237467878e-16,2.31727545080543,2.80057395924539,0.498555273311897,0.0629097033094763,16.8885534623347,2.38177076859763,14.2665544190308,30,0
