"","MAT","MAP","MAT_bin","MAP_bin","MAT_MAP_bin"
"13301",12.5,3014,"1","3","MAT1_MAP3"
"13302",15.4,1799,"1","3","MAT1_MAP3"
"13303",15.5,1787,"1","3","MAT1_MAP3"
"13304",12.6,2963,"1","3","MAT1_MAP3"
"13305",15.1,1849,"1","3","MAT1_MAP3"
"13306",12.2,2220,"1","3","MAT1_MAP3"
"13307",14.1,1946,"1","3","MAT1_MAP3"
"13308",14.7,2905,"1","3","MAT1_MAP3"
"13309",11.6,3152,"1","3","MAT1_MAP3"
"13310",18.8,3163,"3","3","MAT3_MAP3"
"13311",17.3,2451,"2","3","MAT2_MAP3"
"13312",12.2,3145,"1","3","MAT1_MAP3"
