"","MAT","MAP","MAT_bin","MAP_bin","MAT_MAP_bin"
"14094",14.2,1488,"1","3","MAT1_MAP3"
"14095",12.3,1838,"1","3","MAT1_MAP3"
"14096",11.8,1884,"1","3","MAT1_MAP3"
"14097",15.3,1962,"1","3","MAT1_MAP3"
"14098",15.8,2018,"1","3","MAT1_MAP3"
"14099",13.3,1882,"1","3","MAT1_MAP3"
"14100",13.9,1606,"1","3","MAT1_MAP3"
"14101",13.5,1854,"1","3","MAT1_MAP3"
"14102",11.6,1866,"1","3","MAT1_MAP3"
"14103",12.7,1570,"1","3","MAT1_MAP3"
"14104",14.1,1771,"1","3","MAT1_MAP3"
"14105",14.2,1569,"1","3","MAT1_MAP3"
"14106",14.2,2145,"1","3","MAT1_MAP3"
"14107",12.8,1836,"1","3","MAT1_MAP3"
"14108",13.5,1853,"1","3","MAT1_MAP3"
"14109",14.7,1893,"1","3","MAT1_MAP3"
"14110",14.1,1933,"1","3","MAT1_MAP3"
"14111",12.1,1897,"1","3","MAT1_MAP3"
"14112",12.1,1614,"1","3","MAT1_MAP3"
"14113",10.1,1853,"1","3","MAT1_MAP3"
"14114",14,1340,"1","2","MAT1_MAP2"
"14115",13.4,1424,"1","3","MAT1_MAP3"
"14116",14.6,1865,"1","3","MAT1_MAP3"
"14117",12.2,1817,"1","3","MAT1_MAP3"
"14118",12.9,1897,"1","3","MAT1_MAP3"
"14119",11.6,1958,"1","3","MAT1_MAP3"
"14120",14.1,1306,"1","2","MAT1_MAP2"
"14121",12.7,1524,"1","3","MAT1_MAP3"
"14122",14.1,1862,"1","3","MAT1_MAP3"
"14123",13.5,1376,"1","2","MAT1_MAP2"
"14124",12.9,1444,"1","3","MAT1_MAP3"
"14125",13.8,1387,"1","2","MAT1_MAP2"
"14126",12.2,1610,"1","3","MAT1_MAP3"
"14127",14,1312,"1","2","MAT1_MAP2"
"14128",10.7,2268,"1","3","MAT1_MAP3"
"14129",13.5,1460,"1","3","MAT1_MAP3"
"14130",12.4,1610,"1","3","MAT1_MAP3"
"14131",11.9,2014,"1","3","MAT1_MAP3"
"14132",15,1211,"1","1","MAT1_MAP1"
"14133",13.3,1818,"1","3","MAT1_MAP3"
"14134",13.3,1425,"1","3","MAT1_MAP3"
"14135",12.6,1521,"1","3","MAT1_MAP3"
"14136",14,1479,"1","3","MAT1_MAP3"
"14137",13.7,1779,"1","3","MAT1_MAP3"
"14138",15.5,2175,"1","3","MAT1_MAP3"
"14139",13.4,2224,"1","3","MAT1_MAP3"
"14140",14.8,1255,"1","2","MAT1_MAP2"
"14141",15.1,2208,"1","3","MAT1_MAP3"
"14142",14,1805,"1","3","MAT1_MAP3"
"14143",14,1374,"1","2","MAT1_MAP2"
"14144",13.9,1371,"1","2","MAT1_MAP2"
"14145",14.7,1364,"1","2","MAT1_MAP2"
"14146",13.5,1520,"1","3","MAT1_MAP3"
"14147",13.8,2368,"1","3","MAT1_MAP3"
"14148",13.4,1518,"1","3","MAT1_MAP3"
"14149",13.7,1531,"1","3","MAT1_MAP3"
"14150",12.4,1811,"1","3","MAT1_MAP3"
"14151",16.3,2252,"2","3","MAT2_MAP3"
"14152",8.4,2421,"1","3","MAT1_MAP3"
"14153",12.8,1809,"1","3","MAT1_MAP3"
"14154",13.4,1612,"1","3","MAT1_MAP3"
"14155",12.5,1856,"1","3","MAT1_MAP3"
"14156",13.5,1966,"1","3","MAT1_MAP3"
"14157",13.8,1675,"1","3","MAT1_MAP3"
"14158",14.3,1580,"1","3","MAT1_MAP3"
"14159",11.4,1894,"1","3","MAT1_MAP3"
"14160",13.1,2007,"1","3","MAT1_MAP3"
"14161",15.3,1953,"1","3","MAT1_MAP3"
"14162",12.2,1705,"1","3","MAT1_MAP3"
"14163",11.4,1768,"1","3","MAT1_MAP3"
"14164",12.6,1691,"1","3","MAT1_MAP3"
"14165",13.9,2008,"1","3","MAT1_MAP3"
"14166",14.6,1489,"1","3","MAT1_MAP3"
"14167",14,2010,"1","3","MAT1_MAP3"
"14168",14,2032,"1","3","MAT1_MAP3"
"14169",14.1,1885,"1","3","MAT1_MAP3"
"14170",14.5,1978,"1","3","MAT1_MAP3"
"14171",14,1580,"1","3","MAT1_MAP3"
"14172",13.9,1587,"1","3","MAT1_MAP3"
"14173",13.7,1931,"1","3","MAT1_MAP3"
"14174",12.8,1709,"1","3","MAT1_MAP3"
"14175",11.9,1976,"1","3","MAT1_MAP3"
"14176",14.2,1534,"1","3","MAT1_MAP3"
"14177",13.8,1970,"1","3","MAT1_MAP3"
"14178",12.6,1891,"1","3","MAT1_MAP3"
"14179",13.3,1667,"1","3","MAT1_MAP3"
"14180",13.3,1641,"1","3","MAT1_MAP3"
"14181",14.4,1546,"1","3","MAT1_MAP3"
"14182",14.2,1693,"1","3","MAT1_MAP3"
"14183",14.5,1757,"1","3","MAT1_MAP3"
"14184",14.7,1754,"1","3","MAT1_MAP3"
"14185",12.4,1751,"1","3","MAT1_MAP3"
"14186",13,1728,"1","3","MAT1_MAP3"
"14187",13.5,1756,"1","3","MAT1_MAP3"
"14188",13.4,1871,"1","3","MAT1_MAP3"
"14189",12.7,1956,"1","3","MAT1_MAP3"
"14190",12.9,1993,"1","3","MAT1_MAP3"
"14191",13.3,1953,"1","3","MAT1_MAP3"
"14192",13.2,1988,"1","3","MAT1_MAP3"
"14193",12.6,1940,"1","3","MAT1_MAP3"
"14194",11.9,2474,"1","3","MAT1_MAP3"
"14195",15.1,2805,"1","3","MAT1_MAP3"
"14196",13.9,2786,"1","3","MAT1_MAP3"
"14197",11.2,2551,"1","3","MAT1_MAP3"
"14198",13.4,2063,"1","3","MAT1_MAP3"
"14199",12.1,2698,"1","3","MAT1_MAP3"
"14200",9.6,2613,"1","3","MAT1_MAP3"
"14201",13.6,2091,"1","3","MAT1_MAP3"
"14202",13,2113,"1","3","MAT1_MAP3"
"14203",12.8,1980,"1","3","MAT1_MAP3"
"14204",12.6,1810,"1","3","MAT1_MAP3"
"14205",13,2765,"1","3","MAT1_MAP3"
"14206",13,1966,"1","3","MAT1_MAP3"
"14207",12.9,1745,"1","3","MAT1_MAP3"
"14208",10.9,2362,"1","3","MAT1_MAP3"
"14209",13.2,1735,"1","3","MAT1_MAP3"
"14210",13.6,1661,"1","3","MAT1_MAP3"
"14211",13.6,1700,"1","3","MAT1_MAP3"
"14212",14.2,1614,"1","3","MAT1_MAP3"
"14213",14,1689,"1","3","MAT1_MAP3"
"14214",13.2,1763,"1","3","MAT1_MAP3"
"14215",10.5,2087,"1","3","MAT1_MAP3"
"14216",15.4,2950,"1","3","MAT1_MAP3"
"14217",14.9,2263,"1","3","MAT1_MAP3"
"14218",15.4,2171,"1","3","MAT1_MAP3"
"14219",13,1921,"1","3","MAT1_MAP3"
"14220",14.4,2086,"1","3","MAT1_MAP3"
"14221",15.4,2550,"1","3","MAT1_MAP3"
"14222",14.5,2101,"1","3","MAT1_MAP3"
"14223",11.4,2261,"1","3","MAT1_MAP3"
"14224",13.2,2254,"1","3","MAT1_MAP3"
"14225",15.8,2495,"1","3","MAT1_MAP3"
"14226",13.2,2398,"1","3","MAT1_MAP3"
"14227",8.7,2193,"1","3","MAT1_MAP3"
"14228",8.3,2186,"1","3","MAT1_MAP3"
"14229",13.1,2384,"1","3","MAT1_MAP3"
"14230",13.5,2401,"1","3","MAT1_MAP3"
"14231",11.8,2305,"1","3","MAT1_MAP3"
"14232",12.9,2436,"1","3","MAT1_MAP3"
"14233",14.9,2149,"1","3","MAT1_MAP3"
"14234",13.3,2209,"1","3","MAT1_MAP3"
"14235",13.4,2026,"1","3","MAT1_MAP3"
"14236",12.8,2105,"1","3","MAT1_MAP3"
"14237",11.9,2146,"1","3","MAT1_MAP3"
"14238",8.3,1993,"1","3","MAT1_MAP3"
"14239",14.8,1723,"1","3","MAT1_MAP3"
"14240",14.9,1723,"1","3","MAT1_MAP3"
"14241",12.9,2106,"1","3","MAT1_MAP3"
"14242",13.1,2108,"1","3","MAT1_MAP3"
"14243",5.2,2097,"1","3","MAT1_MAP3"
"14244",15.8,2007,"1","3","MAT1_MAP3"
"14245",10.8,1684,"1","3","MAT1_MAP3"
"14246",10.3,1710,"1","3","MAT1_MAP3"
"14247",10.5,2086,"1","3","MAT1_MAP3"
"14248",12,2164,"1","3","MAT1_MAP3"
"14249",7.9,1636,"1","3","MAT1_MAP3"
"14250",9,1641,"1","3","MAT1_MAP3"
"14251",15.8,2132,"1","3","MAT1_MAP3"
"14252",14.1,2175,"1","3","MAT1_MAP3"
"14253",9.7,2079,"1","3","MAT1_MAP3"
"14254",5.9,2096,"1","3","MAT1_MAP3"
"14255",10.8,1108,"1","1","MAT1_MAP1"
"14256",10.6,1854,"1","3","MAT1_MAP3"
"14257",12.8,1827,"1","3","MAT1_MAP3"
"14258",9.7,1179,"1","1","MAT1_MAP1"
"14259",12.5,2326,"1","3","MAT1_MAP3"
"14260",12.7,2336,"1","3","MAT1_MAP3"
"14261",12.5,2272,"1","3","MAT1_MAP3"
"14262",9.3,1997,"1","3","MAT1_MAP3"
"14263",15.6,2098,"1","3","MAT1_MAP3"
"14264",9.1,1752,"1","3","MAT1_MAP3"
"14265",6.6,1753,"1","3","MAT1_MAP3"
"14266",11,1157,"1","1","MAT1_MAP1"
"14267",12.1,2333,"1","3","MAT1_MAP3"
"14268",16,1983,"2","3","MAT2_MAP3"
"14269",10.9,1349,"1","2","MAT1_MAP2"
"14270",15.2,1971,"1","3","MAT1_MAP3"
"14271",11.6,2103,"1","3","MAT1_MAP3"
"14272",10.7,1643,"1","3","MAT1_MAP3"
"14273",13.5,1535,"1","3","MAT1_MAP3"
"14274",12.4,1741,"1","3","MAT1_MAP3"
"14275",13.6,1317,"1","2","MAT1_MAP2"
"14276",14.1,1428,"1","3","MAT1_MAP3"
"14277",11.6,1574,"1","3","MAT1_MAP3"
"14278",12.7,2046,"1","3","MAT1_MAP3"
"14279",11.8,2105,"1","3","MAT1_MAP3"
"14280",14.5,1837,"1","3","MAT1_MAP3"
"14281",12.5,1400,"1","2","MAT1_MAP2"
"14282",12.7,1422,"1","3","MAT1_MAP3"
"14283",15,1472,"1","3","MAT1_MAP3"
"14284",13.2,1380,"1","2","MAT1_MAP2"
"14285",12.7,1417,"1","2","MAT1_MAP2"
"14286",13.3,1404,"1","2","MAT1_MAP2"
"14287",15.2,1852,"1","3","MAT1_MAP3"
"14288",11.3,1399,"1","2","MAT1_MAP2"
"14289",15.1,1545,"1","3","MAT1_MAP3"
"14290",12.1,1466,"1","3","MAT1_MAP3"
"14291",12.3,1488,"1","3","MAT1_MAP3"
"14292",11.3,1301,"1","2","MAT1_MAP2"
"14293",11.3,1292,"1","2","MAT1_MAP2"
"14294",13.4,1447,"1","3","MAT1_MAP3"
"14295",11.4,1277,"1","2","MAT1_MAP2"
"14296",11.2,1314,"1","2","MAT1_MAP2"
"14297",10.7,1340,"1","2","MAT1_MAP2"
"14298",9.9,1391,"1","2","MAT1_MAP2"
"14299",14.9,1598,"1","3","MAT1_MAP3"
"14300",10.3,1410,"1","2","MAT1_MAP2"
"14301",11.8,1280,"1","2","MAT1_MAP2"
"14302",12.2,1289,"1","2","MAT1_MAP2"
"14303",13.1,1388,"1","2","MAT1_MAP2"
"14304",12.9,1361,"1","2","MAT1_MAP2"
"14305",11.2,1260,"1","2","MAT1_MAP2"
"14306",11,1282,"1","2","MAT1_MAP2"
"14307",10.3,1254,"1","2","MAT1_MAP2"
"14308",10.5,1248,"1","1","MAT1_MAP1"
"14309",10.2,1291,"1","2","MAT1_MAP2"
"14310",10.1,1290,"1","2","MAT1_MAP2"
"14311",10.5,1283,"1","2","MAT1_MAP2"
"14312",8.9,1451,"1","3","MAT1_MAP3"
"14313",9,1436,"1","3","MAT1_MAP3"
"14314",9.6,1242,"1","1","MAT1_MAP1"
"14315",14.8,2085,"1","3","MAT1_MAP3"
"14316",16.2,2045,"2","3","MAT2_MAP3"
"14317",14.7,2152,"1","3","MAT1_MAP3"
"14318",16.3,1578,"2","3","MAT2_MAP3"
"14319",15.7,1971,"1","3","MAT1_MAP3"
"14320",16.1,1869,"2","3","MAT2_MAP3"
"14321",16,1898,"2","3","MAT2_MAP3"
